部件	UCV编号	频率	用例
⿱⺈丨	231	57	𬬃𬪽𬪄𬨻𬢞𬞮𬖩𬕺𬕳𬓗𬑅𬐸𬎽𬎻𬌣𬋱𬋫𬋆𬆒𬂨𬂆𫴬𫧦𫧣𫢖𫕸𫎚𫎑𫋶𫉼𫆡𫁞𪿸𪾆𪸄𪶏𪲣𪱕𪰰𪰇𪯊𪮯𪬫𪫶𪫓𪩬𪥾𪤸𪤲𪣱𪡍𪡉𪠉𪟳𪞀𪝱𪝪
⿸虎人	232d	21	𠊤𢀊𢊐𢐏𢒜𣣕𤦣𥛕𥰽𧈁𧈎𧌭𧏕𧤫𧩐𧼥𨂑𨪾𨽯𩳰𰲚
⿳十罒心	260	3	廰徳聴
⿲彳⿱山一攵	261	62	嶶幑微徵徽懲瀓癓癥矀薇藢覹霺鰴黴鿦㜫㠞㣲㵟䉠䥩𡀎𡤇𢋋𢕄𢷸𣌎𣰒𤁚𥋪𦆓𦗸𦘇𦡒𧃸𧒰𧢒𧢓𧢡𧢤𧸮𧾘𨟃𨣟𨱖𨷋𨷣𩙉𩴰𩼌𩽚𪿂𫌭𫲛𭶓𭼼𰎆𰎾𱈑𱬙
⿲彳山攵	261	9	徴徾𡀏𢖄𤑈𭒧𭺉𮣚𭐈
㇯㇯𢕧彳攵	263	1	𢕧
⿳士冖一	264a	153	亄嗀噎壹嬄彀愨懿撎曀榖殪殼潱瀔瀫瑴皼瞉穀糓縠螜觳豰豷轂饐鷇鷧㙪㜌㝅㦉㦤㱅㲉㷤㺉䊦䍍䐨𠍼𡄻𡔻𡔾𡠆𡤜𡤵𡬗𢡱𢢿𢦁𢦆𢧣𢧺𢿰𣂍𣓘𣪊𣪥𣪨𣪳𣪸𣪹𣫌𣫎𣫓𣫔𣰺𣹬𤅮𤏈𤚲𤚼𤡬𥀎𥔳𥔼𥗣𥞤𥡛𥡮𥵠𥷆𦎯𦠉𧂔𧂣𧏚𧥆𧬇𧯸𧰝𧲇𧴒𧹌𧹲𨢋𨶮𨸌𩀠𩁡𩌊𩌥𩍤𩩬𩻭𪄗𪄽𪆖𪆪𪇄𪈞𪍠𪍢𪕷𪕸𪤴𪭁𪳮𪾼𫖡𫜕𫯁𫯂𫯈𫻚𫻢𬆮𬤞𬬅𬸬𭅮𭋄𭐓𭐚𭐛𭕀𭬨𭿲𮙙𮚢𮧑𮩞𰄿𰔕𱈼𱊦𱘡𱬨𲂟𮹏
⿱士冖	264a	149	壱売壳壶壷壸壺壼悫慤槖殻毂涜濲続蠧読驝㚃㚄㨌㯛㲄㸿𠥚𠳗𡀄𡁲𡄜𡋼𡐉𡐬𡑚𡔩𡔪𡔫𡔱𡔳𡔴𡔵𡔸𡔹𡔺𡔿𡕄𡕅𡕎𡕏𢅍𢆇𢢢𢣞𢣯𢭜𢷌𣒆𣓷𣙲𣚯𣝔𣝝𣡆𣣿𣤟𣨑𣩉𣪒𣪛𣪝𣪬𣫀𣫃𣫅𣫇𣫈𣫉𣫗𣫪𤂁𤌫𤛓𤜕𤠼𤨻𤩖𤬗𥃕𥑟𥢉𦄨𦇍𦎼𦺟𦾫𧀶𧎅𧐜𧓜𧞒𧞹𧞺𨏡𨧣𩎲𩏮𩏻𩞵𩥟𪃟𪅏𪆑𪇂𪇗𪍥𪏙𪖃𫯃𫯉𬀘𬅭𬆭𬆯𬤵𬨕𭐔𭤄𭮽𭱅𭱥𭳜𮝘𮮹𰊗𰊙𰋈𰋊𰋍𰒍𰒛𰙍𰚈𰚉𰧋𱈿𱋞𱫈𱴧𦤼
⿳士冖⿱一几	265	6	殼𢡱𣓘𩩬𪆪𫖡
⿳士冖禾	266	9	濲𣫉𣫪𥢉𦾫𧞒𪇗𬤵𭤄
⿱士𠖀	266	4	𡑚𢣯𬅭𬆭
⿹勹灬	268	49	冩寫潟瀉獡磶舄蕮藛㕐㵼䉣䥱𠄝𠍶𡄽𡦗𡦱𡦳𡦴𢊁𣚐𣚔𣞐𣽉𤉡𤉢𤊱𤺎𥖽𥶘𥼥𦅎𧂙𧓺𧝄𧝌𧞳𧭠𧸹𧸿𩍆𭀄𭂁𭬘𭮦𭴷𭿖𰩛
⿹㇉灬	268	95	傿嘕墕嫣廌漹澙瀳灋焉篶舃蔫薦鄢韀韉㥼㯊䍎䗡𠏰𠢰𠦮𡋬𡦭𡦲𡦵𡫕𡯼𢋱𢌇𢖇𢚎𢡓𢢘𢳃𣄊𣩙𣻍𣿕𤇟𤉐𤉱𤎄𤡯𤢒𤢧𥣟𥤆𥴱𦆉𦇩𦉙𦺂𧂑𧞌𧞦𧟆𧲊𧲛𧽞𨓃𨖮𨰂𨷓𨷳𨻳𩌮𩎇𪢔𪴇𫋡𫬅𫼒𬉻𬋽𬰟𭊰𭐉𭔥𭮟𭴚𮣘𰐆𰟑𱐋𱝎𱝐𱪷𱪽𱫃𱫇𡃂𣿱
⿱自丰	272	1	𡻇
⿱白干	272	1	𠤨
⿱白丰	272	1	𮋉
⿱廿⿻口土	276	15	𠏏𠏽𡅤𣂷𤏊𤒿𦻵𧆖𨞋𨻜𩁢𩥕𪇼𭳻𮀆
⿱⿵𰃦米丂	282	1	澚
⿱⿵𰃦釆丂	282	4	𣙾𤏓𧝰𨼟
⿱𠃋𧘇	293	12	逺𡊮𡻽𤨔𦊷𧘾𨒢𫞤𮟃𱯔𬡄𮐀
⿱口𧘇	293	161	儇噮園圜媴嬛寰彋懁擐攌榬檈溒澴猿獧環癏睘瞏糫繯缳翾薗薳蠉袁褤譞轅轘辕遠還鎱鐶镮闤闧阛鬟鱞鹮㝨㨬㶎䁵䕂䚪䴉䴋𠐛𡄤𡈤𡈵𡑡𡑰𡕅𡣱𢕼𢩠𢸃𢹞𣞲𣟳𣟴𣡬𤃆𤪹𤫐𤲡𤾮𥌡𥰟𦇏𦌺𦌾𦍃𦍆𦏖𦒠𦒬𦣴𧒶𧔘𧫁𧭴𧮅𧽚𧾎𨆈𨏙𨘏𨘣𨘻𨯬𨰄𨷤𩍡𩔭𩕪𩙽𩟁𩦮𩯴𪍺𪡫𪼄𪼨𪼮𫍽𫜅𫤇𫤻𫵅𫸁𬒥𬕶𬙪𬙫𬪗𬬎𬶵𭋜𭔚𭗤𭣌𭤌𮆙𮆡𮝹𮟧𮥥𮨖𰊍𰡨𰫶𱾂𲋽𮲊偯哀鎄锿㗒𠗪𡃟𡟓𡪭𢜺𤁆𤠆𤸖𪶦𫈮𬕞𭎳𭫊𱜾
⿱厶𧘇	293	3	𡋡𣠯𭡟
⿱𠂉矢	298f	30	嗾族瘯簇蔟鏃镞鷟㵀䃚𡆈𡆍𡻬𢄧𢩜𢳇𢳈𣙘𤕼𧐈𨄕𩀥𩺯𩻀𪟒𪼕𫦓𬸦𮡽𲀆
⿱𠂉天	298f	1	𪯶
⿱𡗜圭	298k	3	𡈞𨅆𪒖
⿷匚帀	298m	2	𣑙𣛈
㇯齊二	298p	91	儕劑嚌懠擠櫅濟璾癠穧纃臍艩薺蠐躋鑇隮霽鱭麡齊齋齌齍齎齏㸄䄢䍤䜞䭣䮺䶒䶓䶩𠎗𡄡𡣙𡤴𡽉𢋿𢥖𢹓𣋠𤒱𥐌𥖭𦠃𦺅𧅱𧆌𧓉𧕚𧖊𧞓𧾙𨣧𨽘𩱳𩵃𩹵𪊆𪗅𪗆𪗇𪗈𪗉𪗊𪗋𪗌𪗍𪗏𪗑𪗒𪗓𪤪𫊖𫬬𫬵𬀛𬩣𬪜𭳯𮂧𮊞𮥱𰫕𱪏𱾿𮱲
⿱大彡	298r	60	参惨掺椮毵毶渗瘆碜糁骖鯵鲹黪㟥㡎䅟𠬊𡞋𡳔𢒣𢒮𥮾𦤒𨨕𩭹𪠟𪠡𫎺𫕨𫢺𫤯𫮅𫶅𬌷𬓽𬞣𬢳𬤄𬥜𬥞𬭝𬯊𬱬𬳯𮠳𰄁𰄶𰇁𰇼𰞷𰬪𰴂𰸙𱐠𱔑𱝳𱭞𱯆𲃻
⿳⺊冖⿳七八𥃦	306b	1	𤪻
⿸耳又	309	50	冣嘬撮最樶熶穝繓菆蕞襊黀㵊䴝𡡔𢄸𢢇𢤎𣋁𣠏𣩡𤑧𤩛𥊴𥕸𥪳𥳣𦈛𦦣𨅎𨣅𨼥𩯉𩯍𪒙𪙦𪝫𪢚𪧨𪱕𬓙𭕁𭞮𭳖𱁁𱊼𱗸𱝂𲇤𲎪
⿱千⿻从凵	312b	6	𤗠𥠞𨪺𨺭𩤪𪙒
⿺夨口	313	5	𡔢𧍩𩔄𪃇𩫀
⿱口矢	313	4	㑨𨉛𫞆𭪵
⿱⿻土从囬	317c	1	𫮰
⿵冂⿱一丅	321	2	𦦝𦦞
⿱日匂	323	5	掲渇𭤥𭦹𮑥
⿱血𧰨	329	2	𲆍𱤘
⿰𥘈籴	341b	1	𭋹
⿰土刀	344	3	𢘰𥿚𫾌
⿱亾口	352a	3	𡢔𩦻𮌩
⿱大干	354c	3	𩩃𭠦𱒙
⿱大𰀁	354c	4	𣝴𦤑𭑜𭬑
⿳巛𠔿⿲⿺𠄌⺀⿺𠄌⺀㇂	360	2	𡗇𤢪
⿰丬⿹戈臣	364	1	𮍒
⿱𱼀寸	374	55	墏奬將嶈摪槳漿獎蔣螿蹡醬鏘鱂㢡㯍䉃䊢䒂䵁䵼𠅵𠙝𡁷𡑶𣁻𣩗𤍵𤖛𤨿𤴠𥶝𥷃𦎆𧽩𨄚𨫥𩝫𩝴𩱑𪙝𪤖𪭺𫌏𫦔𫳻𬦞𬬙𭊟𭒝𭝹𭲎𮠿𰎲𱸮
⿱爫𠙻	375	6	揺𢝾𣽮𧝾𨗽𮦡
⿱𱼀缶	375	4	搖瑤謠遙
⿱巛𠙻	376	1	𱯈
⿱日目	382	1	𡕳
⿱日⺝	382	76	厭厴嚈壓嬮懕懨擪擫檿猒靨饜魘黶㦔㩎㱘𡑅𡽣𢅠𢣽𢵤𢹥𢺫𣎩𣚕𣝓𤳪𥀦𥀬𥌅𥜒𥣘𦑉𦠡𧗖𧞣𨽀𩉂𩉇𩞹𩼴𪒞𪱑𫨥𬂈𬂋𬪕𭀏𭈭𭎯𭒦𭙵𭚋𭚐𭟢𭩏𭻝𭼩𭼪𭼶𮁑𮂘𮑨𰝜𱈯𱘬𱱭𲄊𲄒𱱨𮚐𮔙𫦱𤦛
⿳⺊𫜹龰	389	11	偼媫㨗𠸝𣕹𥈤𦵉𦻴𧑻𧪌𨩼
㇯𣷉氵	395	1	𣷉
⿰歹又	397	3	䬸𠸅𥹏
㇯𪚽冬	407	3	𪚽𥤛𪚫
㇯𣲅氵	408	1	𣲅
㇯𬗜糹	410	1	𬗜
㇯𭑡夬	414	1	𭑡
⿳覀二火	416	5	𣊠𥋄𦗩𨅟𩦈
⿱⿺𠃊口目	420	3	𡟤𥰀𭪽
⿱止缶	426	1	𣂶
