部件	n2733编号	频率	用例
⿰⿾丶丿	A100,B070	23	班疈辨㿀𠞢𠺚𢲔𣗝𦶾𧩵𨫄𩔮𩺡𪄕𪉒𪭀𪱟𫋑𬂇𭨞𮚽𰰒𱺎
㇯百日	A121,B398	1850	𱯺𭁡𬻃𢌉𡎄佰倾偭傾優兡凮勔厦咟喕嗄嘎嘠噸嚘嚣嚬嚻囂圙夏夒夓奡奤奭媔媭嬃宿寕寡崸嵿嶺巅巎巓巔帞幁庼廈廎弼愐憂懮戛戞摍撷擷擾攧暊栢榎樎櫇櫌洦湎湏滪潁澃澒澦濒瀀瀕瀩瀬灏灝灦烦煩熲獶獿瓇瓸癫癲百皕盨硕碩禵禷穎竡籲粨糆絔緬縮纇纈纋纐缅缩缬耰脜腼蓣蓿蕦蕷薠蘈蘋蘏蘔蘱蘷虁虈蛨蝒蝢蠠衋衟袹襫襭貊蹜蹞鄾銆鏥陌面靣靤靥靦靧靨頁頂頃頄項順頇須頉頊頋頌頍頎頏預頑頒頓頔頕頖頗領頙頚頛頜頝頞頟頠頡頢頣頤頥頦頧頨頩頪頫頬頭頮頯頰頱頲頳頴頵頶頷頸頹頺頻頼頽頾頿顀顁顂顃顄顅顆顇顈顉顊顋題額顎顏顐顑顒顓顔顕顖顗願顙顚顛顜顝類顟顠顡顢顣顤顥顦顧顨顩顪顫顬顭顮顯顰顱顲顳顴页顶顷顸项顺须顼顽顾顿颀颁颂颃预颅领颇颈颉颊颋颌颍颎颏颐频颒颓颔颕颖颗题颙颚颛颜额颞颟颠颡颢颣颤颥颦颧鬚麵麺龥鿒鿓㑔㑯㓦㖽㘖㙽㛲㜚㢶㥑㥧㩩㩪㪶㮌㯋㰋㰜㱊㴼㴿㶊㹕㹛㹮㺧㼣㿗䀌䁞䁰䅡䇓䈹䋶䐓䑿䔛䔤䕘䕱䖀䜡䤄䥳䩂䩃䩄䩅䩆䩇䩈䩉䩊䩋䩌䩍䩎䩏䪱䪲䪳䪴䪵䪶䪷䪸䪹䪺䪻䪼䪽䪾䪿䫀䫁䫂䫃䫄䫅䫆䫇䫈䫉䫊䫋䫌䫍䫎䫏䫐䫑䫒䫓䫔䫕䫖䫗䫘䫙䫚䫛䫜䫝䫞䫟䫠䫡䫢䫣䫤䫥䫦䫧䫨䫩䫪䫫䫬䫭䫮䫯䫰䫱䫲䫳䫴䫵䫶䫷䭬䭭䯪䰅𠀼𠁗𠃇𠄆𠆠𠊊𠌘𠌛𠍊𠍚𠍛𠍩𠎡𠏶𠐬𠐺𠐾𠑍𠑘𠑚𠑪𠑯𠓮𠖧𠖩𠖪𠗍𠙩𠚑𠟹𠠉𠠘𠡳𠢊𠢘𠢨𠨦𠫉𠮕𠷡𠷰𠼟𠼴𠽒𠽸𠾫𠾿𡂄𡄶𡅅𡅑𡅒𡅥𡅪𡆔𡆘𡇚𡇢𡋦𡏘𡐯𡓡𡔀𡔇𡕵𡕾𡕿𡖂𡖃𡙣𡚐𡞎𡟺𡡓𡤉𡧾𡨴𡩂𡩛𡪴𡫍𡬅𡬹𡭎𡭑𡯺𡶾𡺋𡺷𡻂𡼔𡼛𡽠𡽹𡾂𡾆𡾣𡾫𡿃𡿅𢃮𢄼𢅼𢊼𢋏𢋞𢋣𢌂𢍳𢐈𢐝𢐤𢒣𢒷𢒸𢕶𢖒𢖤𢙯𢚧𢝊𢞘𢟜𢟟𢠷𢤧𢥀𢥙𢥝𢥤𢥧𢥨𢥭𢥹𢦁𢧖𢧻𢫦𢳔𢴕𢴦𢶃𢶄𢷧𢸸𢸹𢹃𢹉𢹎𢹙𢹟𢹷𢹻𢺕𣁨𣂏𣂐𣄩𣄫𣋗𣌌𣌔𣌛𣔸𣛪𣛿𣞀𣟓𣟤𣟩𣠢𣡲𣣺𣤻𣦞𣩐𣪀𣮗𣮻𣮿𣯐𣰔𣰰𣰱𣴨𣶊𣻯𣻳𣼸𣽀𣽥𣾢𤀪𤁪𤁫𤁾𤂌𤂔𤃌𤃑𤃡𤃣𤃨𤄭𤄰𤄹𤅆𤅎𤅓𤅖𤅡𤌤𤎁𤎂𤎾𤒟𤚛𤛝𤛽𤛾𤟯𤢫𤢺𤣠𤤿𤧶𤫓𤫕𤫘𤶰𤹉𤻆𤻊𤽠𤾋𤾓𤾩𥀝𥂾𥄾𥈅𥈗𥊾𥌨𥍎𥎀𥏄𥔹𥕯𥖊𥗳𥚴𥜂𥜚𥜛𥜝𥢃𥢈𥢙𥣯𥧜𥪙𥫏𥲴𥳗𥵝𥷎𥸊𥸤𥻴𥼍𥽟𥽯𦂨𦄼𦅐𦅓𦅜𦅨𦆺𦇖𦇦𦖦𦗰𦟱𦡋𦢶𦣻𦣽𦥍𦩽𦫤𦫥𦵀𦷜𦸘𦹗𦺣𦼿𦽀𦿽𧀥𧀺𧂀𧂃𧃴𧄴𧄺𧅙𧅵𧆈𧈄𧍹𧏈𧏡𧐴𧓣𧔪𧔾𧖙𧘄𧞲𧟸𧡻𧢪𧩠𧩤𧩬𧭹𧮝𧹡𧻙𧼟𧼸𧾤𨂠𨅑𨆆𨆌𨆜𨆵𨇄𨇐𨇪𨈀𨈉𨉥𨏞𨒹𨔞𨕂𨕥𨖁𨗶𨘀𨘷𨙁𨜧𨟉𨟛𨟨𨡞𨢣𨢲𨣡𨫫𨬗𨬜𨬰𨭋𨭫𨮌𨮮𨯲𨯸𨰥𨲙𨵪𨷩𨻺𨼘𨽗𩃫𩅭𩅺𩈃𩈄𩈅𩈆𩈇𩈈𩈉𩈊𩈋𩈌𩈍𩈎𩈏𩈐𩈑𩈒𩈓𩈔𩈕𩈖𩈗𩈘𩈙𩈚𩈛𩈜𩈝𩈞𩈟𩈠𩈡𩈢𩈣𩈤𩈥𩈦𩈧𩈨𩈩𩈪𩈫𩈬𩈭𩈮𩈯𩈰𩈱𩈲𩈳𩈴𩈵𩈶𩈷𩈸𩈹𩈺𩈻𩈼𩈽𩈾𩈿𩉀𩉁𩉂𩉃𩉄𩉅𩉆𩉇𩉈𩉉𩉊𩉋𩉌𩉍𩉎𩉏𩉐𩉑𩉒𩉓𩉔𩉕𩉖𩉗𩉘𩉙𩉚𩊘𩋠𩎌𩎍𩐳𩐼𩑋𩑌𩑍𩑎𩑏𩑐𩑑𩑒𩑓𩑔𩑕𩑖𩑗𩑘𩑙𩑚𩑛𩑜𩑝𩑞𩑟𩑠𩑡𩑢𩑣𩑤𩑥𩑦𩑧𩑨𩑩𩑪𩑫𩑬𩑭𩑮𩑯𩑰𩑱𩑲𩑳𩑴𩑵𩑶𩑷𩑸𩑹𩑺𩑻𩑼𩑽𩑾𩑿𩒀𩒁𩒂𩒃𩒄𩒅𩒆𩒇𩒈𩒉𩒊𩒋𩒌𩒍𩒎𩒏𩒐𩒑𩒒𩒓𩒔𩒕𩒖𩒗𩒘𩒙𩒚𩒛𩒜𩒝𩒞𩒟𩒠𩒡𩒢𩒣𩒤𩒥𩒦𩒧𩒨𩒩𩒪𩒫𩒬𩒭𩒮𩒯𩒰𩒱𩒲𩒳𩒴𩒵𩒶𩒷𩒸𩒹𩒺𩒻𩒼𩒽𩒾𩒿𩓀𩓁𩓂𩓃𩓄𩓅𩓆𩓇𩓈𩓉𩓊𩓋𩓌𩓍𩓎𩓏𩓐𩓑𩓒𩓓𩓔𩓕𩓖𩓗𩓘𩓙𩓚𩓛𩓜𩓝𩓞𩓟𩓠𩓡𩓢𩓣𩓤𩓥𩓦𩓧𩓨𩓩𩓪𩓫𩓬𩓭𩓮𩓯𩓰𩓱𩓲𩓳𩓴𩓵𩓶𩓷𩓸𩓹𩓺𩓻𩓼𩓽𩓾𩓿𩔀𩔁𩔂𩔃𩔄𩔅𩔆𩔇𩔈𩔉𩔊𩔋𩔌𩔍𩔎𩔏𩔐𩔑𩔒𩔓𩔔𩔕𩔖𩔗𩔘𩔙𩔚𩔛𩔜𩔝𩔞𩔟𩔠𩔡𩔢𩔣𩔤𩔥𩔦𩔧𩔨𩔩𩔪𩔫𩔬𩔭𩔮𩔯𩔰𩔱𩔲𩔳𩔴𩔵𩔶𩔷𩔸𩔹𩔺𩔻𩔼𩔽𩔾𩔿𩕀𩕁𩕂𩕃𩕄𩕅𩕆𩕇𩕈𩕉𩕊𩕋𩕌𩕍𩕎𩕏𩕐𩕑𩕒𩕓𩕔𩕕𩕖𩕗𩕘𩕙𩕚𩕛𩕜𩕝𩕞𩕟𩕠𩕡𩕢𩕣𩕤𩕥𩕦𩕧𩕨𩕩𩕪𩕫𩕬𩕭𩕮𩕯𩕰𩕱𩕲𩕳𩕴𩕵𩕶𩕷𩕸𩕹𩕺𩕻𩕼𩕽𩕾𩕿𩖀𩖁𩖂𩖃𩖄𩖅𩖆𩖇𩖈𩖉𩖊𩖋𩖌𩖍𩖎𩖏𩖐𩖑𩖒𩖓𩖔𩖕𩖖𩖗𩘰𩚀𩛬𩝗𩠐𩠒𩠖𩠜𩠝𩠞𩠡𩠢𩠣𩠪𩠫𩡘𩢷𩤤𩥿𩧔𩫳𩭈𩱴𩳾𩵊𩹠𩽇𩾎𪄂𪅢𪆦𪈈𪎎𪏔𪑸𪓇𪓱𪕯𪗎𪚉𪜙𪝽𪞕𪟊𪠌𪡬𪦗𪩌𪩻𪫇𪫮𪭄𪭔𪴑𪴣𪶯𪷩𪷿𪹺𪺈𪺖𪼩𪾔𫌍𫌧𫍐𫎄𫎥𫏔𫑖𫓎𫓛𫔊𫔕𫖀𫖁𫖂𫖃𫖄𫖝𫖞𫖟𫖠𫖡𫖢𫖣𫖤𫖥𫖦𫖧𫖨𫖩𫖪𫖫𫖬𫖭𫖮𫖯𫖰𫖱𫖲𫖳𫖴𫖵𫖶𫖷𫖸𫖹𫖺𫗖𫘏𫚆𫜧𫞑𫠆𫠵𫡰𫡷𫤉𫤎𫤏𫤒𫤓𫤕𫦍𫨅𫨌𫩑𫪓𫫏𫫠𫫫𫫾𫬆𫬟𫯮𫱯𫳜𫴉𫵍𫶞𫶡𫷈𫷒𫷢𫸔𫹧𫹨𫺿𫻤𫽙𫽫𬀋𬃛𬃲𬃴𬄝𬄥𬅁𬇺𬈱𬈾𬈿𬉏𬉐𬊪𬍭𬍵𬏶𬐿𬕬𬕿𬖾𬗀𬗟𬘂𬘳𬛭𬜃𬞊𬞟𬟄𬟐𬟒𬟡𬤴𬥈𬦰𬧚𬫿𬬉𬬤𬰄𬰠𬰡𬰢𬰣𬰿𬱀𬱁𬱂𬱃𬱄𬱅𬱆𬱇𬱈𬱉𬱊𬱋𬱌𬱍𬱎𬱏𬱐𬱑𬱒𬱓𬱔𬱕𬱖𬱗𬱘𬱙𬱚𬱛𬱜𬱝𬱞𬱟𬱠𬱡𬱢𬱣𬱤𬱥𬱦𬱧𬱨𬱩𬱪𬱫𬱬𬱭𬱮𬱯𬱰𬱱𬱲𬱳𬲚𬳎𬵽𬷢𬹃𬺂𬿦𬿰𬿲𭀂𭀆𭂒𭄑𭄖𭆖𭆴𭉔𭉿𭊩𭋢𭋨𭋴𭌍𭌑𭌒𭍋𭍔𭎸𭎹𭐀𭐐𭐰𭐲𭑜𭒩𭔅𭔆𭕥𭖖𭗣𭚈𭚻𭛱𭜊𭝸𭟏𭡲𭣇𭤍𭦚𭨖𭩆𭫓𭫻𭬭𭬻𭭓𭮩𭮮𭮷𭰫𭱊𭱣𭲒𭳕𭳞𭳥𭺌𭼵𭼸𭼺𭽈𭽎𭽝𮂟𮅥𮆖𮊴𮍲𮎋𮎖𮎞𮎩𮐚𮓅𮔾𮕈𮕜𮖗𮖱𮖶𮜫𮟂𮟖𮟚𮢩𮣍𮣯𮧉𮧊𮧋𮧌𮧍𮧎𮧏𮧐𮧑𮧒𮨀𮨁𮨂𮨃𮨄𮨅𮨆𮨇𮨈𮨉𮨊𮨋𮨌𮨍𮨎𮨏𮨐𮨑𮨒𮨓𮨔𮨕𮨖𮨗𮨘𮨙𮨚𮨛𮨜𮨝𮨞𮨟𮨠𮨡𮨢𮨣𮨤𮨥𮬆𮭙𰂾𰃅𰃉𰈼𰉁𰉔𰊸𰊹𰋁𰋊𰋿𰌼𰍒𰎷𰒖𰔆𰔫𰘰𰘱𰙺𰛽𰜏𰝤𰝰𰟰𰠓𰣠𰨔𰨖𰨩𰨾𰩧𰪕𰫵𰫺𰬄𰭀𰱝𰲁𰲒𰲖𰳀𰳦𰷉𰸰𰸵𰽈𰽳𱁰𱂔𱂕𱂖𱂗𱂘𱂙𱂚𱂛𱂜𱂝𱂞𱂟𱂠𱂡𱂢𱂣𱂤𱂥𱂦𱂧𱂨𱂩𱂪𱂫𱂬𱂭𱂮𱂯𱂰𱂱𱂲𱂳𱂴𱂵𱂶𱂷𱂸𱂹𱂺𱂻𱄍𱆚𱆿𱇃𱌧𱐇𱑀𱑂𱓉𱓝𱘤𱚦𱛷𱜇𱟞𱠖𱠽𱡄𱡿𱤲𱨺𱩂𱩤𱭿𱰐𱲟𱳓𱳢𱴾𱵡𱵴𱶥𱸲𱼕𱼖𱽅𱿂𱿑𲀁𲀖𲁲𲄉𲅵𲅻𲆁𲈖𲉮𲊚𲊪𲊫𲊬𲊭𲊮𲊯𲊰𲊱𲊲𲊳𲊴𲊵𲊶𲊷𲊸𲊹𲊺𲊻𲊼𲊽𲊾𲊿𲋀𲋁𲋂𲋃𲋛𲍪𲎗𲎘𮰗𮲎𮲟𮲺𮷥𮷦𮸴𮸵𮸶𮸷𮸸𮸹𮸺
㇯欠人	A165,B89	1241	𠉎𢰼𰿑𫹬𣱹𧻦𧼇乲亇你佽俽僛劂厥吹咨嗽噘噷坎垐妳姿嫰嬜寳尔崁嵌嵚嶔嶡嶥廞弞弥忺恣您惞慾憠懿扻掀揿摗撅撳擨擹杴栥栨楶樕橛橜檨欠次欢欣欤欥欦欧欨欩欪欫欬欭欮欯欰欱欲欳欴欵欶欷欸欹欺欻欼欽款欿歀歁歂歃歄歅歆歇歈歉歊歋歌歍歎歏歐歑歒歓歔歕歖歗歘歙歚歛歜歝歞歟歠歡沵漱澬灍炊焁焮燞狝猕獗玺珎瓷瘚瘶盗盜砍祢称秶窽窾篏簌簐籨粢絘缼羡羨肷芡茨莰蔌蕨薋藃藗蘝螸蟨蟩蠀蠍袮覙諮谘資资赥赼趂趑趦蹶蹷軟软迩遬鉨鍁鏉鐝钦锨镢闕阙靌飮飲餈饮鱖鳜鷢龡鿟鿭㐸㗵㙭㜛㜧㟜㠌㦤㮞㯘㰝㰞㰟㰠㰡㰢㰣㰤㰥㰦㰧㰨㰩㰪㰫㰬㰭㰮㰯㰰㰱㰲㰳㰴㰵㰶㰷㰸㰹㰺㰻㰼㰽㰾㰿㱀㱁㱂㱃㱄㱅㱆㱇㱈㱉㱊㱋㱌㱍㱎㳄㳽㵐㵣㵪㶑㸝㺵㾳䂧䃢䅆䆅䇜䊻䌠䑐䕀䙠䚿䟢䠖䢭䤰䥗䥲䨏䪠䪡䪢䪣䯉䯸䲌䳐䶴䶾𠀿𠁓𠃻𠍫𠎮𠏩𠐀𠑁𠒤𠗭𠘂𠢤𠢭𠥈𠥜𠦰𠦿𠩗𠩦𠩱𠩼𠪁𠪗𠪢𠰚𠲭𠵸𠸆𠸰𠺡𠺰𠺼𠾗𠾨𠾬𠿁𠿒𠿖𠿢𠿣𠿮𡁀𡁌𡁍𡂿𡃠𡃧𡃭𡄥𡄻𡊑𡑨𡕆𡝠𡞁𡟔𡡕𡢜𡣂𡤜𡤧𡤵𡪡𡪪𡫷𡮠𡮪𡳠𡷑𡸛𡺏𡼭𡼲𡼽𡽙𡾴𢁧𢅅𢆘𢇣𢉄𢊦𢋅𢋆𢋉𢌃𢓑𢕢𢕫𢘝𢘞𢙊𢛦𢜛𢝩𢡜𢡮𢢚𢢶𢢾𢣇𢤥𢦆𢫴𢭻𢱆𢴪𢴺𢵡𢶆𢶖𢸈𢹀𢹦𢺔𣃥𣆋𣆾𣊞𣋚𣋸𣌋𣍨𣒱𣒿𣓔𣔙𣖬𣛯𣞔𣢀𣢁𣢂𣢃𣢄𣢅𣢆𣢇𣢈𣢉𣢊𣢋𣢌𣢍𣢎𣢏𣢐𣢑𣢒𣢓𣢔𣢕𣢖𣢗𣢘𣢙𣢚𣢛𣢜𣢝𣢞𣢟𣢠𣢡𣢢𣢣𣢤𣢥𣢦𣢧𣢨𣢩𣢪𣢫𣢬𣢭𣢮𣢯𣢰𣢱𣢲𣢳𣢴𣢵𣢶𣢷𣢸𣢹𣢺𣢻𣢼𣢽𣢾𣢿𣣀𣣁𣣂𣣃𣣄𣣅𣣆𣣇𣣈𣣉𣣊𣣋𣣌𣣍𣣎𣣏𣣐𣣑𣣒𣣓𣣔𣣕𣣖𣣗𣣘𣣙𣣚𣣛𣣜𣣝𣣞𣣟𣣠𣣡𣣢𣣣𣣤𣣥𣣦𣣧𣣨𣣩𣣪𣣫𣣬𣣭𣣮𣣯𣣰𣣱𣣲𣣳𣣴𣣵𣣶𣣷𣣸𣣹𣣺𣣻𣣼𣣽𣣾𣣿𣤀𣤁𣤂𣤃𣤄𣤅𣤆𣤇𣤈𣤉𣤊𣤋𣤌𣤍𣤎𣤏𣤐𣤑𣤒𣤓𣤔𣤕𣤖𣤗𣤘𣤙𣤚𣤛𣤜𣤝𣤞𣤟𣤠𣤡𣤢𣤣𣤤𣤥𣤦𣤧𣤨𣤩𣤪𣤫𣤬𣤭𣤮𣤯𣤰𣤱𣤲𣤳𣤴𣤵𣤶𣤷𣤸𣤹𣤺𣤻𣤼𣤽𣤾𣤿𣥀𣥁𣧋𣧢𣧸𣩭𣪄𣪳𣬴𣯃𣳩𣵯𣵶𣶙𣶛𣹱𣼋𣼴𣽌𣽟𣾠𣿁𤀔𤁤𤅮𤆒𤈾𤉚𤊑𤐚𤒡𤘯𤛦𤜹𤝀𤝆𤡃𤡋𤡻𤢔𤦀𤦾𤦿𤩤𤪎𤪰𤪵𤫋𤫞𤮥𤴼𤵜𤶤𤶺𤷓𤸺𤺘𤺤𤺰𤻍𤻐𤼏𤼢𥂉𥅘𥇎𥊡𥋕𥋵𥎯𥔩𥕔𥕲𥕳𥖄𥗄𥗢𥗮𥙧𥚭𥜡𥟕𥦔𥧾𥪅𥬞𥭫𥮜𥳽𥴃𥴋𥵗𥶎𥷟𥸷𥺏𥺔𥻓𥼻𥽁𥿜𥿩𦅗𦆀𦆃𦈱𦌊𦌗𦌸𦍴𦏅𦕗𦜓𦠑𦠒𦥞𦪘𦪬𦬼𦰴𦰻𦲽𦳫𦵖𦹔𦻁𦼜𦽣𧀌𧂱𧃏𧉰𧊒𧏗𧐁𧐄𧓃𧓗𧜍𧝽𧞨𧢊𧢖𧤆𧤼𧥊𧦽𧫎𧫷𧫺𧰕𧰝𧵉𧷕𧷝𧹌𧽓𧽸𧾒𧿞𨀥𨁰𨃾𨅄𨅠𨇬𨇮𨉻𨋎𨋰𨍁𨍢𨒮𨖯𨠅𨡢𨣕𨤧𨤰𨦠𨧮𨨢𨨮𨩲𨬐𨬢𨮈𨯎𨰇𨰦𨱒𨱟𨳴𨵇𨶕𨶦𨼌𨼤𩀒𩀾𩄶𩆂𩆃𩉢𩌱𩎗𩐆𩐊𩐋𩐑𩐒𩐕𩚸𩜖𩜴𩞌𩞺𩥝𩦒𩪗𩪜𩪢𩬘𩭜𩮶𩲟𩲪𩵜𩵢𩶗𩶲𩸹𩺶𩻇𩽑𩿥𪅵𪅾𪆙𪇽𪉁𪋈𪌒𪕆𪖗𪗀𪛐𪝪𪝱𪞀𪞼𪟳𪠉𪡇𪡉𪡌𪡍𪡗𪣱𪤲𪤸𪥒𪥥𪥯𪥾𪦌𪨸𪩪𪩬𪫓𪫶𪬫𪭁𪭧𪮭𪮯𪮲𪯊𪰇𪰰𪱕𪱾𪲣𪴩𪴪𪴫𪴬𪴭𪴮𪴯𪴰𪴱𪴲𪴳𪴴𪶏𪶻𪶿𪸄𪸞𪾆𪾪𪾯𪿸𫁞𫂼𫆁𫆡𫈀𫈫𫉮𫉸𫉼𫊱𫋶𫌨𫎑𫎚𫐪𫑫𫒂𫓿𫔋𫕸𫘃𫙩𫚁𫜌𫞚𫞝𫟔𫡐𫡓𫡔𫢖𫣑𫥗𫦷𫧣𫧦𫨜𫪘𫪽𫫉𫫙𫫬𫮟𫰑𫱝𫳎𫴣𫴬𫵇𫶜𫷷𫺸𫻎𫻚𫻢𫽸𫾷𬁄𬁦𬁼𬂆𬂐𬂨𬅝𬅞𬅟𬅠𬅡𬅢𬅣𬅤𬅥𬅦𬅧𬅨𬅩𬅪𬅫𬅬𬅭𬅮𬅯𬅰𬅱𬅲𬅳𬅴𬅵𬆒𬋆𬋏𬋐𬋫𬋱𬌣𬎻𬎽𬏂𬏗𬐸𬐼𬐾𬑅𬓗𬓯𬕳𬕺𬖩𬘒𬚺𬝍𬝜𬝩𬝵𬝺𬞢𬞮𬢀𬢞𬢤𬢴𬤹𬦍𬨻𬩠𬪄𬪽𬫘𬬃𬮼𬯃𬳰𬶷𬸨𬾫𭁊𭄝𭅜𭆇𭆏𭆣𭇲𭇳𭇺𭈔𭈤𭉊𭉯𭊒𭊖𭋯𭌼𭏪𭒖𭒰𭖳𭗊𭛨𭝆𭞗𭟔𭤠𭦡𭧸𭬸𭭄𭭅𭭆𭭇𭭈𭭉𭭊𭭋𭭌𭭍𭭎𭭏𭭐𭭑𭭒𭭓𭭔𭭕𭭖𭭗𭮙𭯎𭹒𭾈𮂸𮄈𮊰𮐁𮑁𮑡𮔞𮗦𮘳𮛧𮝗𮡼𮢞𮢯𮢵𮣤𮤉𮩹𮮅𮯀𰂷𰅢𰆡𰇚𰈱𰎦𰎼𰒏𰘒𰘹𰙊𰙋𰙌𰙍𰙎𰙏𰙐𰙑𰙒𰙓𰙔𰙕𰙖𰙗𰙘𰙙𰛐𰛳𰜽𰟖𰟱𰡚𰧎𰨳𰫻𰬒𰯖𰱡𰱱𰲊𰲗𰳉𰴸𰶷𰸏𰹚𱊧𱍞𱏒𱑩𱕵𱖚𱙴𱚧𱜠𱞓𱞵𱢭𱢴𱤗𱤷𱤸𱤹𱤺𱦢𱦷𱧆𱧚𱧢𱨧𱫓𱬨𱬬𱭡𱮥𱯥𱱮𱱱𱳞𱷙𱻥𱾃𱿅𱿥𲁈𲂞𲂟𲂠𲃒𲃶𲇁𲊟𲊩𲍨𲍰𲎯𮲾𮷯
㇯虎几？	A181,B145	709	儢劇勮勴嘑嘘噓噱噳嚧嚱嚹囐墟壉壚嫭巇巘巚廬慮憈懅戯戱戲掳摅摢摣擄據攄攎曥榩樝櫖櫨歑歔滤滹澞澽濾瀘爈爐獹獻璩瓐瓛甗瘧皻盧矑簴籚籧纑罅罏膚臄臚艣艫蔖藘蘆蘧虍虏虐虑虔處虖虗虘虙虚虛虜虞虡虧虨蠦覰覷覻觑謔謯謼譃讞谑豦躆轤遽醵鎼鏬鐪鐻鑢鑪钀隵雐顱驉驢髗鬳魖鰬鱋鱸鸆鸕黸齇齾㓺㔧㖸㗔㘌㙤㚀㜘㠊㠠㢒㢚㦆㨜㨿㩀㩬㩵㪥㪭㯉㯫㯭㱆㱺㷾㸍㺣㻯㿖䁦䆽䖈䖉䖍䖏䖒䖗䞊䟊䠡䡾䣜䰕䱷䲐䲣䶥𠊤𠋵𠐳𠢅𠢍𠣊𠫂𠭯𠮏𠶪𠼥𠽁𠿖𠿛𡃖𡃧𡃰𡅈𡎍𡎪𡐸𡑾𡒾𡓰𡔎𡟣𡢙𡢢𡣭𡰐𡳆𡳬𡻻𡼆𡾅𡾟𡾠𡿕𢀊𢀋𢊐𢋼𢋽𢐏𢐸𢒜𢒯𢟶𢢛𢣧𢣿𢥈𢧶𢨘𢨛𢯯𢰵𢲽𢳛𢳵𢴮𢶐𢸉𢹍𢺂𢿊𣀞𣊑𣋮𣌉𣖪𣖳𣘭𣙁𣚛𣛼𣝛𣟵𣡌𣣕𣤴𣫦𣬁𣶭𣻐𤀃𤀶𤁴𤂴𤃒𤃔𤃪𤄦𤅊𤓤𤗭𤚳𤛏𤟜𤟝𤡣𤢓𤣏𤦣𤨇𤩁𤩩𤪽𤫗𤫣𤬘𤬛𤬜𤬝𤮆𤮙𤮝𤮣𤮧𤴅𤹡𤹣𤺝𤺞𤺿𤻱𥀵𥃈𥃋𥃓𥈴𥋖𥌠𥏽𥔮𥕑𥕕𥕰𥖼𥗌𥛕𥛜𥛳𥜅𥜜𥜠𥡧𥰽𥱲𥱿𥲉𥲜𥲤𥴧𥵂𥶌𥽜𦁭𦂇𦉄𦉋𦉌𦉑𦉛𦉧𦋾𦞐𦞬𦟚𦟰𦡑𦢚𦢛𦪡𦸵𦼫𦾚𦿊𧀴𧃘𧃢𧃷𧆛𧆜𧆝𧆞𧆠𧆣𧆤𧆥𧆨𧆩𧆪𧆭𧆮𧆱𧆲𧆳𧆴𧆵𧆶𧆾𧆿𧇀𧇁𧇂𧇃𧇄𧇆𧇇𧇈𧇉𧇊𧇋𧇏𧇔𧇕𧇖𧇗𧇘𧇠𧇡𧇣𧇤𧇧𧇩𧇪𧇲𧇴𧇵𧇺𧇼𧇽𧇾𧇿𧈀𧈁𧈂𧈃𧈉𧈎𧈒𧈓𧈔𧈕𧈘𧈚𧌧𧌭𧎍𧏕𧐅𧐪𧓻𧕆𧖃𧗌𧛓𧝔𧝲𧤥𧤧𧤫𧩐𧪤𧪥𧫅𧫪𧬷𧭜𧰜𧲋𧲘𧴆𧴘𧼥𧽐𧾧𨂑𨂶𨄥𨄪𨇖𨎶𨏧𨏾𨕑𨖆𨘈𨘮𨙊𨜻𨝘𨝞𨝹𨞘𨞙𨞦𨞹𨟭𨨍𨩘𨩜𨩝𨩞𨩽𨪝𨪨𨪾𨫴𨫶𨬲𨬷𨭴𨮗𨮡𨮣𨮦𨯼𨻲𨼋𨼫𨼽𨽚𨽜𨽯𩁋𩁨𩆴𩆾𩌲𩍼𩏣𩐮𩔺𩕚𩕷𩗸𩙙𩤾𩦢𩧥𩯜𩲼𩳰𩴘𩴛𩴥𩴯𩺇𩼻𩽟𪆛𪆺𪇦𪇸𪈒𪋬𪍸𪏏𪑷𪓐𪕽𪖌𪖸𪘽𪙫𪙾𪙿𪚊𪚋𪛍𪝭𪦒𪩽𪪐𪪛𪷓𪹣𪺉𫇛𫊝𫊞𫊟𫊡𫊢𫊣𫍔𫍹𫓗𫓺𫣞𫨡𫶢𫷽𫻖𫽯𫿑𬉜𬋴𬋵𬐸𬑁𬔑𬙓𬞲𬟧𬟨𬟩𬟫𬟮𬟯𬟱𬟳𬠦𬤙𬪣𬬚𬮗𬯷𬶬𬹜𬿖𭂸𭄾𭊌𭊰𭌗𭏟𭏣𭐁𭗩𭗲𭘶𭛚𭛺𭝬𭞚𭟔𭟼𭢉𭤐𭤜𭧷𭨓𭭔𭱼𭳁𭶨𭹦𭹰𭺥𭽷𮀸𮅽𮆌𮆿𮌶𮓖𮓛𮓝𮓣𮓩𮓪𮓬𮓭𮘭𮙅𮝤𮢹𮣶𮣷𮥲𮯑𮯓𮯗𰂦𰅔𰈈𰊼𰏭𰕘𰢉𰪠𰪥𰱮𰲙𰲚𰲝𰲡𰲢𰲣𰲤𰲧𰴜𰴞𱀼𱀽𱅧𱈉𱊫𱗒𱗠𱗡𱗮𱙞𱙧𱝹𱡆𱢮𱢱𱢼𱤞𱩳𱬟𱰕𱱚𱼦𱿓𱿖𲀄𲂚𲂣𲇧𲈟𲋠𲎥𮱚𮶺𧆧
#⿾𰀂	A214		#见文件0
